"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"Athletic Bilbao",211750000,12952094.0532795,"https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2019",8,7,51,11
"Atlético de Madrid",720150000,39901368.1912888,"https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2019",3,2,70,3
"CA Osasuna",62775000,2816927.47589309,"https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2019",18,18,52,10
"CD Leganés",109700000,4096827.6142035,"https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2019",13,15,36,18
"Celta de Vigo",1.67e+08,7850891.25464067,"https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2019",11,11,37,17
"Deportivo Alavés",106750000,4664987.63342879,"https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2019",14,14,39,16
"FC Barcelona",930275000,46885534.7158888,"https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2019",1,1,82,2
"Getafe CF",175450000,9689168.820428,"https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2019",10,10,54,8
"Granada CF",56575000,2505167.48050112,"https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2019",19,20,56,6
"Levante UD",90500000,4887090.34489526,"https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2019",15,13,49,12
"RCD Espanyol Barcelona",156050000,5430455.47623001,"https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2019",12,12,25,20
"RCD Mallorca",64675000,2820031.29312044,"https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2019",17,17,33,19
"Real Betis Balompié",244350000,12041702.284451,"https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2019",7,8,41,15
"Real Madrid",913750000,39697931.645819,"https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2019",2,3,87,1
"Real Sociedad",347550000,18407053.6911277,"https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2019",5,5,56,6
"Real Valladolid CF",87775000,3633793.09502285,"https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2019",16,16,42,13
"SD Eibar",53750000,2665459.35960591,"https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2019",20,19,42,13
"Sevilla FC",294750000,13271488.9241985,"https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2019",6,6,70,3
"Valencia CF",427800000,21260488.8781723,"https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2019",4,4,53,9
"Villarreal CF",208675000,9694664.99650431,"https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2019",9,9,60,5
