"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AS Monaco",331025000,13704271.6827279,"https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2019",3,4,40,7
"AS Saint-Étienne",104825000,4115787.1220172,"https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2019",10,12,30,16
"Amiens SC",61925000,2306491.79090394,"https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2019",16,18,23,19
"Angers SCO",89475000,3132364.89867401,"https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2019",12,15,39,10
"Dijon FCO",50225000,2204528.87537994,"https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2019",18,20,30,16
"FC Girondins Bordeaux",125350000,5249854.77826359,"https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2019",8,8,37,12
"FC Metz",54100000,2974560.33549784,"https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2019",17,16,34,14
"FC Nantes",106150000,4705357.59453649,"https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2019",9,9,37,12
"FC Toulouse",71875000,3190182.02689406,"https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2019",15,14,13,20
"LOSC Lille",247775000,13896381.4540022,"https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2019",4,3,49,4
"Montpellier HSC",81675000,4693048.39742612,"https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2019",13.5,11,40,7
"Nîmes Olympique",49650000,2254966.23213444,"https://www.transfermarkt.com/nimes-olympique/startseite/verein/1160/saison_id/2019",19,19,27,18
"OGC Nice",173450000,7803066.65184809,"https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2019",6,7,41,5
"Olympique Lyon",384550000,17538074.2106279,"https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2019",2,2,40,7
"Olympique Marseille",216150000,11230294.2514788,"https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2019",5,5,56,2
"Paris Saint-Germain",874150000,39399909.9320396,"https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2019",1,1,68,1
"RC Strasbourg Alsace",91125000,4698549.2882799,"https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2019",11,10,38,11
"Stade Brestois 29",47775000,2470522.14299118,"https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2019",20,17,34,14
"Stade Reims",81675000,3971155.26631589,"https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2019",13.5,13,41,5
"Stade Rennais FC",171875000,8488248.67415949,"https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2019",7,6,50,3
