"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AC Milan",581700000,27793138.0150642,"https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2024",3,2,63,8
"AC Monza",95825000,3210241.23665916,"https://www.transfermarkt.com/ac-monza/startseite/verein/2919/saison_id/2024",18,20,18,20
"ACF Fiorentina",368125000,13797138.2279244,"https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2024",7,9,65,6
"AS Roma",390300000,17615640.6961804,"https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2024",6,6,69,5
"Atalanta BC",501200000,21974943.6630663,"https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2024",4,5,74,3
"Bologna FC 1909",340650000,14769099.2493745,"https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2024",8,7,62,9
"Cagliari Calcio",93625000,4096452.55258221,"https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2024",20,17,36,15
"Como 1907",203425000,7906511.21935899,"https://www.transfermarkt.com/como-1907/startseite/verein/1047/saison_id/2024",11,12,49,10
"FC Empoli",106575000,3352404.1606589,"https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2024",17,19,31,18
"Genoa CFC",175350000,8138615.15113191,"https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2024",13,11,43,13
"Hellas Verona",107350000,4509978.39273163,"https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2024",16,16,37,14
"Inter Milan",1483700000,67710711.3811415,"https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2024",1,1,81,2
"Juventus FC",628725000,26786282.8297608,"https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2024",2,3,70,4
"Parma Calcio 1913",175110000,7682057.092254,"https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2024",14,13,36,15
"SS Lazio",294900000,14677360.9201634,"https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2024",9,8,65,6
"SSC Napoli",500450000,22800165.020566,"https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2024",5,4,82,1
"Torino FC",219275000,8960089.15229339,"https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2024",10,10,44,11
"US Lecce",113425000,4934460.50659282,"https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2024",15,15,34,17
"Udinese Calcio",198900000,7427846.0319033,"https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2024",12,14,44,11
"Venezia FC",95600000,3772409.05793346,"https://www.transfermarkt.com/venezia-fc/startseite/verein/607/saison_id/2024",19,18,29,19
