"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"1.FC Köln",68625000,4266143.7147586,"https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2015",13,8,43,9
"1.FSV Mainz 05",85150000,4113789.42042835,"https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2015",8,9,50,6
"Bayer 04 Leverkusen",241300000,11786307.4491367,"https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2015",4,3,60,3
"Bayern Munich",596050000,33117509.9383914,"https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2015",1,1,88,1
"Borussia Dortmund",352950000,19297637.4000645,"https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2015",2,2,78,2
"Borussia Mönchengladbach",186150000,9463563.46705545,"https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2015",6,6,55,4
"Eintracht Frankfurt",76600000,3312741.12757114,"https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2015",11,12,36,16
"FC Augsburg",75825000,2872118.59874315,"https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2015",12,14,38,12
"FC Ingolstadt 04",35650000,1708564.23902354,"https://www.transfermarkt.com/fc-ingolstadt-04/startseite/verein/4795/saison_id/2015",17,17,40,11
"FC Schalke 04",225200000,10189089.8657179,"https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2015",5,5,52,5
"Hamburger SV",63200000,2809386.55582629,"https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2015",15,15,41,10
"Hannover 96",60825000,2713796.10152854,"https://www.transfermarkt.com/hannover-96/startseite/verein/42/saison_id/2015",16,16,25,18
"Hertha BSC",78925000,3966625.70450627,"https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2015",10,10,50,6
"SV Darmstadt 98",25150000,1435771.4036189,"https://www.transfermarkt.com/sv-darmstadt-98/startseite/verein/105/saison_id/2015",18,18,38,12
"SV Werder Bremen",64675000,3182822.4481413,"https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2015",14,13,38,12
"TSG 1899 Hoffenheim",90200000,5017460.97137901,"https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2015",7,7,37,15
"VfB Stuttgart",81175000,3911537.34379541,"https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2015",9,11,33,17
"VfL Wolfsburg",270425000,10480950.2311082,"https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2015",3,4,45,8
