"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AS Monaco",227400000,7078237.62951486,"https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2015",2,3,65,2
"AS Saint-Étienne",97200000,3634765.66737786,"https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2015",5,6,58,6
"Angers SCO",32350000,1643386.83311042,"https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2015",17,16,50,9
"EA Guingamp",33500000,1571360.84709791,"https://www.transfermarkt.com/ea-guingamp/startseite/verein/855/saison_id/2015",16,17,44,16
"ESTAC Troyes",30700000,1180617.66949557,"https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2015",18,18,18,20
"FC Girondins Bordeaux",90700000,2915161.20014909,"https://www.transfermarkt.com/fc-girondins-bordeaux/startseite/verein/40/saison_id/2015",7,8,50,9
"FC Lorient",58050000,2678098.22088825,"https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2015",10,10,46,15
"FC Nantes",39300000,1786893.65884881,"https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2015",14,13,48,13
"FC Toulouse",42900000,2154528.37874536,"https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2015",13,11,40,17
"GFC Ajaccio",18400000,928732.618568285,"https://www.transfermarkt.com/gfc-ajaccio/startseite/verein/3558/saison_id/2015",20,20,37,19
"LOSC Lille",70800000,2713087.53820937,"https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2015",9,9,60,5
"Montpellier HSC",44400000,1713536.08883405,"https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2015",11,15,49,12
"OGC Nice",70950000,3688035.9798162,"https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2015",8,5,63,4
"Olympique Lyon",166300000,8766997.00671467,"https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2015",3,2,65,2
"Olympique Marseille",129500000,6366722.67191445,"https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2015",4,4,48,13
"Paris Saint-Germain",436300000,20901616.0542912,"https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2015",1,1,96,1
"SC Bastia",24250000,1052793.27531057,"https://www.transfermarkt.com/sc-bastia/startseite/verein/595/saison_id/2015",19,19,50,9
"SM Caen",36800000,1787748.61079681,"https://www.transfermarkt.com/sm-caen/startseite/verein/1162/saison_id/2015",15,12,54,7
"Stade Reims",42950000,1720580.12796197,"https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2015",12,14,39,18
"Stade Rennais FC",94150000,3443479.14474314,"https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2015",6,7,52,8
