"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AFC Bournemouth",272175000,13069286.0935464,"https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2019",11,11,34,18
"Arsenal FC",607650000,25354979.5743252,"https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019",6,6,56,8
"Aston Villa",231700000,11259469.7635581,"https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019",13,12,35,17
"Brighton & Hove Albion",200775000,8943360.50389033,"https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2019",15,17,41,15
"Burnley FC",163875000,9006777.49045684,"https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2019",18,16,54,9
"Chelsea FC",705850000,31458568.1158362,"https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2019",4,4,66,3
"Crystal Palace",189325000,9876467.3129002,"https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019",17,14,43,14
"Everton FC",420550000,21698744.0613387,"https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019",7,8,49,12
"Leicester City",411100000,22837167.0141302,"https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2019",8,7,62,5
"Liverpool FC",1002650000,33587404.9071742,"https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2019",2,3,99,1
"Manchester City",1048675000,50106193.324991,"https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019",1,1,81,2
"Manchester United",670450000,29529443.7073075,"https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019",5,5,66,3
"Newcastle United",252475000,10309198.5285921,"https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019",12,13,44,13
"Norwich City",145325000,7674882.25058005,"https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2019",19,19,21,20
"Sheffield United",138600000,6652030.64784621,"https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2019",20,20,54,9
"Southampton FC",210750000,9849960.84032065,"https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2019",14,15,52,11
"Tottenham Hotspur",806800000,35537880.7793413,"https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2019",3,2,59,6
"Watford FC",199600000,8081254.37818148,"https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2019",16,18,34,18
"West Ham United",303600000,15185273.6677493,"https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019",10,10,39,16
"Wolverhampton Wanderers",320325000,18263347.087628,"https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019",9,9,59,6
