"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AC Milan",213825000,9817643.47170481,"https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2015",5,5,57,7
"ACF Fiorentina",190525000,8493920.33091324,"https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2015",6,6,64,5
"AS Roma",332900000,15725687.1329418,"https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2015",2,3,80,3
"Atalanta BC",78450000,3415407.17604936,"https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2015",13,13,45,12
"Bologna FC 1909",75225000,3311335.58969018,"https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2015",14,15,42,14
"Carpi FC 1909",52050000,1606335.04723185,"https://www.transfermarkt.com/carpi-fc-1909/startseite/verein/4102/saison_id/2015",17,18,38,18
"Chievo Verona",49775000,1894139.57074926,"https://www.transfermarkt.com/chievo-verona/startseite/verein/862/saison_id/2015",18,17,50,9
"FC Empoli",74600000,4356141.10365632,"https://www.transfermarkt.com/fc-empoli/startseite/verein/749/saison_id/2015",15,10,46,10
"Frosinone Calcio",38300000,1552048.39791548,"https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970/saison_id/2015",20,19,31,19
"Genoa CFC",117550000,4297085.19017515,"https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2015",9,11,46,10
"Hellas Verona",47725000,1513583.60761217,"https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2015",19,20,28,20
"Inter Milan",294275000,13868122.8570744,"https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2015",4,4,67,4
"Juventus FC",4.4e+08,20719379.8449612,"https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2015",1,1,91,1
"SS Lazio",175300000,7609485.84102947,"https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2015",7,7,54,8
"SSC Napoli",321925000,17761365.9810093,"https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2015",3,2,82,2
"Torino FC",89825000,4057514.00162838,"https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2015",12,12,45,12
"UC Sampdoria",126525000,5294862.58974994,"https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2015",8,9,40,15
"US Palermo",68675000,2774528.13435486,"https://www.transfermarkt.com/palermo-fc/startseite/verein/458/saison_id/2015",16,16,39,16
"US Sassuolo",9.7e+07,5730856.92522534,"https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2015",10,8,61,6
"Udinese Calcio",9.3e+07,3413955.15917255,"https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2015",11,14,39,16
