"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"1.FC Köln",98475000,4521419.78759083,"https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2019",15,15,36,14
"1.FC Union Berlin",41200000,1911188.90427005,"https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2019",17,17,41,10
"1.FSV Mainz 05",121575000,5876375.42326281,"https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2019",13,13,37,13
"Bayer 04 Leverkusen",398950000,19666330.2133735,"https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2019",4,4,63,5
"Bayern Munich",777325000,40162688.4837636,"https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2019",1,1,82,1
"Borussia Dortmund",654050000,32478994.6810849,"https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2019",2,2,69,2
"Borussia Mönchengladbach",254700000,15528623.6069993,"https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2019",5,5,65,4
"Eintracht Frankfurt",208975000,9808063.03155259,"https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2019",9,8,45,9
"FC Augsburg",112950000,5842497.68491724,"https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2019",14,14,36,14
"FC Schalke 04",221575000,10348395.5174687,"https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2019",7,6,39,12
"Fortuna Düsseldorf",71775000,3033043.85300494,"https://www.transfermarkt.com/fortuna-dusseldorf/startseite/verein/38/saison_id/2019",16,16,30,17
"Hertha BSC",217200000,8281359.80843221,"https://www.transfermarkt.com/hertha-bsc/startseite/verein/44/saison_id/2019",8,10,41,10
"RB Leipzig",570475000,25776456.9065771,"https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2019",3,3,66,3
"SC Freiburg",122650000,6519811.87128328,"https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2019",12,12,48,8
"SC Paderborn 07",28900000,1376533.78510276,"https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2019",18,18,20,18
"SV Werder Bremen",135125000,7112888.27718572,"https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2019",11,11,31,16
"TSG 1899 Hoffenheim",226050000,9244851.94332863,"https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2019",6,9,52,6
"VfL Wolfsburg",207600000,10024765.4353389,"https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2019",10,7,49,7
